log_price,price,review_scores_rating,has_availability,property_type,instant_bookable,number_of_reviews_ltm,availability_60,review_scores_checkin,room_type,neighbourhood_cleansed,accommodates,review_scores_cleanliness,beds,host_response_time,host_is_superhost,bedrooms,latitude,minimum_nights,reviews_per_month,availability_90,bathrooms_text,availability_365
4.919980925828125,137.0,91.0,True,5,False,0,58,10.0,0,50,4,9.0,2.0,4,True,1.0,43.65374,28,0.16,88,2,96
5.176149732573829,177.0,96.0,True,14,False,2,0,10.0,0,50,7,9.0,4.0,4,True,3.0,43.65329,28,0.25,9,2,284
4.499809670330265,90.0,80.0,True,5,False,0,0,10.0,0,122,2,10.0,1.0,4,False,1.0,43.64424,30,0.02,0,2,0
5.966146739123692,390.0,100.0,True,14,False,0,0,10.0,0,103,7,10.0,4.0,1,False,4.0,43.64147,5,0.1,8,9,223
4.584967478670572,98.0,98.0,True,11,False,5,0,10.0,0,70,2,10.0,1.0,4,True,1.0,43.71558,28,1.88,16,2,291
4.442651256490317,85.0,94.0,True,5,False,0,0,10.0,0,122,2,10.0,1.0,1,False,1.0,43.63859,90,0.26,0,2,191
4.919980925828125,137.0,85.0,True,14,False,0,0,9.0,0,50,4,8.0,3.0,4,True,2.0,43.65597,28,0.09,0,2,198
4.897839799950911,134.0,91.0,True,36,False,0,0,10.0,2,57,2,10.0,1.0,2,True,1.0,43.73084,28,0.22,0,3,0
3.80666248977032,45.0,80.0,True,21,False,0,60,10.0,2,120,1,6.0,1.0,3,True,1.0,43.66229,30,0.01,90,2,365
4.0943445622221,60.0,98.0,True,36,False,3,26,10.0,2,19,1,10.0,1.0,4,True,1.0,43.66487,7,0.56,32,4,212
4.553876891600541,95.0,80.0,True,8,False,0,39,9.0,0,122,2,8.0,1.0,1,False,1.0,43.63708,180,0.07,69,2,344
3.784189633918261,44.0,99.0,True,21,False,4,9,10.0,2,109,1,10.0,1.0,1,True,1.0,43.637,28,0.29,39,4,62
4.700480365792417,110.0,84.0,True,15,False,2,59,10.0,0,103,1,8.0,1.0,2,False,1.0,43.65212,28,0.09,89,26,364
3.828641396489095,46.0,97.0,True,21,False,40,18,10.0,2,30,2,10.0,1.0,1,False,1.0,43.77656,1,1.22,18,4,18
5.991464547107982,400.0,100.0,True,14,False,0,0,10.0,0,104,6,10.0,4.0,3,False,4.0,43.67716,28,0.04,0,11,0
4.382026634673881,80.0,100.0,True,5,False,1,0,10.0,0,50,2,10.0,1.0,1,False,1.0,43.64366,30,0.02,0,26,0
5.081404364984463,161.0,97.0,True,5,False,3,59,10.0,0,59,4,9.0,1.0,4,False,1.0,43.66682,3,1.78,89,2,179
4.356708826689592,78.0,99.0,True,28,True,65,45,10.0,2,23,2,9.0,1.0,4,True,1.0,43.66414,1,2.96,51,4,304
4.867534450455582,130.0,85.0,True,5,False,0,0,10.0,0,122,3,7.0,1.0,1,False,1.0,43.63923,28,0.06,0,2,0
4.8283137373023015,125.0,96.0,True,8,False,0,60,10.0,0,122,2,10.0,1.0,3,True,1.0,43.64028,3,0.43,90,2,90
5.010635294096256,150.0,98.0,True,36,False,1,60,10.0,2,21,2,10.0,1.0,1,False,1.0,43.68212,28,0.99,90,3,365
4.605170185988092,100.0,97.0,True,5,False,0,40,10.0,0,122,2,10.0,1.0,2,False,1.0,43.64674,30,0.48,70,2,70
4.477336814478207,88.0,94.0,True,11,False,1,0,10.0,0,94,3,9.0,1.0,2,False,1.0,43.65555,28,0.35,10,2,285
6.834108738813838,929.0,97.0,True,14,False,0,58,10.0,0,104,9,9.0,6.0,1,False,5.0,43.689,28,0.1,88,18,363
4.59511985013459,99.0,88.0,True,8,False,0,58,9.0,0,3,2,9.0,1.0,1,False,1.0,43.66943,28,0.06,88,2,363
4.691347882229144,109.0,89.0,True,5,False,0,0,9.0,0,110,2,8.0,1.0,1,False,1.0,43.66152,28,0.22,0,2,0
4.948759890378168,141.0,95.0,True,8,False,0,0,10.0,0,44,3,9.0,2.0,0,False,2.0,43.6898,28,1.16,0,2,0
3.828641396489095,46.0,98.0,True,36,False,0,60,10.0,2,98,2,10.0,1.0,3,False,1.0,43.77831,28,0.13,90,4,365
3.4011973816621555,30.0,96.0,True,36,False,0,60,10.0,2,98,1,9.0,1.0,3,False,1.0,43.77835,28,0.05,90,4,365
4.418840607796598,83.0,96.0,True,36,True,0,60,10.0,2,94,2,9.0,0.0,1,False,1.0,43.65804,28,0.14,90,4,365
4.787491742782046,120.0,93.0,True,8,False,0,53,10.0,0,17,1,7.0,1.0,1,False,1.0,43.68373,28,0.04,83,2,358
5.003946305945459,149.0,93.0,True,15,False,0,60,10.0,0,87,5,10.0,2.0,0,False,2.0,43.63708,365,1.84,90,7,365
5.41610040220442,225.0,90.0,True,14,False,0,0,10.0,0,97,7,9.0,5.0,1,False,4.0,43.68219,28,0.06,0,7,0
5.293304824724492,199.0,98.0,True,15,True,2,32,10.0,0,62,4,10.0,2.0,4,False,2.0,43.64971,28,2.59,62,2,152
5.159055299214529,174.0,96.0,True,5,False,0,40,10.0,0,97,3,10.0,1.0,1,False,1.0,43.67705,28,0.68,70,2,160
3.80666248977032,45.0,84.0,True,21,False,0,26,10.0,2,109,2,8.0,1.0,1,False,1.0,43.63874,29,0.2,56,8,331
4.718498871295094,112.0,96.0,True,8,True,40,57,10.0,0,122,4,9.0,1.0,4,False,1.0,43.64389,28,7.3,71,2,273
4.605170185988092,100.0,95.0,True,8,False,1,43,10.0,0,122,3,10.0,2.0,3,True,1.0,43.64248,89,0.25,73,2,186
5.075173815233827,160.0,100.0,True,15,False,0,60,10.0,0,100,2,10.0,1.0,4,True,1.0,43.65794,365,0.11,90,2,365
4.382026634673881,80.0,96.0,True,5,False,1,12,10.0,0,110,3,9.0,1.0,4,True,1.0,43.66451,30,0.25,42,2,317
5.940171252720432,380.0,85.0,True,14,False,0,39,10.0,0,34,8,9.0,5.0,1,False,4.0,43.65367,28,0.05,69,7,344
5.241747015059643,189.0,98.0,True,5,False,0,60,10.0,0,122,2,10.0,2.0,2,False,1.0,43.64091,28,0.09,90,2,90
4.382026634673881,80.0,95.0,True,5,False,0,1,10.0,0,23,1,9.0,1.0,4,False,1.0,43.66498,28,0.31,1,2,1
4.59511985013459,99.0,90.0,True,5,False,0,59,9.0,0,97,3,9.0,2.0,1,False,1.0,43.68023,28,0.09,89,2,364
4.442651256490317,85.0,94.0,True,5,False,4,0,10.0,0,110,2,9.0,1.0,1,True,1.0,43.6666,7,0.8,0,5,140
4.48863636973214,89.0,94.0,True,11,False,2,56,10.0,0,71,2,9.0,1.0,3,True,1.0,43.64584,2,1.68,86,2,361
4.499809670330265,90.0,98.0,True,8,False,1,60,10.0,0,122,2,10.0,2.0,3,True,1.0,43.64421,90,2.44,90,2,365
4.3694478524670215,79.0,97.0,True,36,False,0,0,10.0,2,71,2,10.0,0.0,1,False,1.0,43.65138,28,0.01,0,6,239
4.553876891600541,95.0,91.0,True,12,False,1,60,9.0,0,56,2,9.0,2.0,3,True,1.0,43.68363,30,0.3,90,2,365
4.07753744390572,59.0,99.0,True,36,False,8,60,10.0,2,119,2,10.0,1.0,1,True,1.0,43.64822,28,1.55,90,4,179
4.8283137373023015,125.0,93.0,True,11,False,0,49,10.0,0,32,4,10.0,2.0,4,True,2.0,43.66712,28,1.77,78,2,350
6.2166061010848646,501.0,60.0,True,14,False,0,59,4.0,0,87,7,9.0,4.0,1,False,3.0,43.64471,28,0.05,89,7,364
4.248495242049359,70.0,89.0,True,5,False,0,0,10.0,0,3,2,8.0,0.0,1,False,1.0,43.67139,28,0.26,0,2,0
6.0112671744041615,408.0,97.0,True,14,True,0,60,10.0,0,82,7,9.0,3.0,0,False,3.0,43.70878,28,0.18,90,7,365
5.003946305945459,149.0,87.0,True,5,False,0,60,10.0,0,87,2,9.0,1.0,2,False,1.0,43.6386,28,0.14,90,2,180
4.204692619390966,67.0,96.0,True,8,False,1,12,10.0,0,122,2,10.0,1.0,3,False,1.0,43.64451,30,0.37,42,2,317
4.060443010546419,58.0,95.0,True,5,False,5,46,10.0,0,35,2,9.0,1.0,4,True,1.0,43.6809,28,0.43,76,2,351
5.003946305945459,149.0,80.0,True,8,False,0,60,8.0,0,122,2,8.0,1.0,4,False,1.0,43.64285,30,0.07,90,2,365
4.219507705176107,68.0,93.0,True,5,False,2,16,10.0,0,129,2,10.0,1.0,4,False,1.0,43.76633,28,0.31,46,2,226
4.8283137373023015,125.0,96.0,True,14,False,0,0,10.0,0,32,5,10.0,3.0,1,False,3.0,43.66695,28,0.61,0,5,0
4.248495242049359,70.0,98.0,False,36,False,0,0,10.0,2,56,2,10.0,1.0,1,False,1.0,43.68378,28,1.84,0,2,0
4.31748811353631,75.0,93.0,True,11,False,2,30,10.0,0,110,2,10.0,1.0,2,False,1.0,43.666,30,0.32,60,2,150
3.688879454113936,40.0,89.0,True,36,False,2,60,9.0,2,87,1,8.0,1.0,3,True,1.0,43.64441,30,0.09,90,23,365
3.332204510175204,28.0,80.0,True,36,False,0,60,10.0,2,98,2,7.0,0.0,3,False,1.0,43.77993,28,0.02,90,4,365
5.41610040220442,225.0,97.0,True,14,False,0,51,10.0,0,34,4,10.0,2.0,1,False,2.0,43.65883,28,0.07,80,7,354
5.703782474656201,300.0,100.0,True,17,False,0,60,10.0,0,23,4,10.0,2.0,4,False,2.0,43.65456,28,0.02,90,11,365
5.293304824724492,199.0,100.0,True,14,False,3,19,10.0,0,116,4,10.0,3.0,4,True,3.0,43.66715,29,0.2,46,2,210
5.521460917862246,250.0,98.0,True,15,False,2,60,10.0,0,79,4,10.0,2.0,3,True,1.0,43.65696,30,0.43,90,2,365
4.90527477843843,135.0,98.0,True,11,False,4,0,10.0,0,87,2,10.0,1.0,2,True,1.0,43.64421,2,4.82,0,2,0
5.225746673713202,186.0,93.0,True,8,False,0,1,10.0,0,122,4,8.0,2.0,4,False,1.0,43.64159,90,5.51,1,2,102
4.477336814478207,88.0,92.0,True,5,False,0,0,10.0,0,92,5,9.0,2.0,1,False,1.0,43.68318,30,1.46,0,2,82
4.51085950651685,91.0,98.0,True,14,False,15,19,10.0,0,32,4,10.0,2.0,4,True,2.0,43.66607,2,2.42,30,2,185
4.110873864173311,61.0,90.0,True,5,False,0,27,10.0,0,35,2,10.0,1.0,4,True,1.0,43.68239,28,0.26,57,2,332
3.912023005428146,50.0,96.0,True,36,False,0,1,10.0,2,29,1,9.0,1.0,2,True,1.0,43.69005,28,0.26,11,4,286
4.653960350157523,105.0,85.0,True,5,False,6,58,10.0,0,110,3,8.0,3.0,3,False,1.0,43.65761,28,0.43,88,2,88
5.501258210544727,245.0,91.0,True,14,False,0,0,10.0,0,103,5,10.0,3.0,1,False,3.0,43.64355,28,0.28,0,7,0
5.135798437050262,170.0,95.0,True,8,True,0,0,10.0,0,100,2,9.0,1.0,3,True,1.0,43.65695,180,0.69,0,2,193
4.394449154672439,81.0,95.0,True,11,False,0,1,10.0,0,32,2,10.0,1.0,1,False,1.0,43.67318,28,2.99,1,2,1
4.262679877041316,71.0,80.0,True,36,False,0,60,9.0,2,3,1,9.0,1.0,1,False,1.0,43.67217,28,0.03,90,4,365
4.605170185988092,100.0,85.0,True,5,False,0,0,10.0,0,88,2,8.0,1.0,1,False,1.0,43.67602,28,0.05,0,2,0
4.553876891600541,95.0,97.0,True,21,False,0,60,10.0,2,94,1,10.0,1.0,1,True,1.0,43.65684,30,0.16,90,4,365
4.691347882229144,109.0,99.0,True,15,False,2,0,10.0,0,100,1,10.0,1.0,4,True,1.0,43.65857,28,0.43,0,2,223
5.181783550292085,178.0,99.0,True,21,False,0,60,10.0,2,62,3,10.0,2.0,1,True,1.0,43.65466,28,0.72,90,2,365
4.74493212836325,115.0,98.0,True,21,False,0,60,10.0,2,62,2,10.0,1.0,1,True,1.0,43.6537,28,1.03,90,2,365
